date time client_id server_id client_uqid server_uqid tcp_interval tcp_size tcp_speed udp_interval udp_size udp_speed jitter num_lost num_datagrams_sent num_out_of_order
2010-12-13 03:02:02.931370 0 1 i-1488be79 i-1688be7b 0.0-10.0 600678400 479840138 0.0-10.0 12502350 9981374 0.027 0 8504 1
2010-12-13 03:02:28.478745 1 0 i-1688be7b i-1488be79 0.0-10.0 559374336 447125537 0.0-10.0 12480300 9981617 0.332 5 8489 6
2010-12-13 03:02:53.790932 0 1 i-1488be79 i-1688be7b 0.0-10.0 614449152 491351578 0.0-10.0 12502350 9999996 0.036 5 8504 6
2010-12-13 03:03:19.196329 1 0 i-1688be7b i-1488be79 0.0-10.0 753524736 601911684 0.0-10.0 12470010 9970702 0.035 0 8482 1
2010-12-13 03:03:44.528189 0 1 i-1488be79 i-1688be7b 0.0-10.0 619175936 494176469 0.0-10.0 12502350 9999994 0.027 0 8504 1
2010-12-13 03:04:10.073697 1 0 i-1688be7b i-1488be79 0.0-10.0 659111936 527201611 0.0-10.0 12502350 9994604 0.063 17 8504 18
2010-12-13 03:04:35.569070 0 1 i-1488be79 i-1688be7b 0.0-10.0 592535552 473310665 0.0-10.0 12502350 9981097 0.203 5 8505 5
2010-12-13 03:05:01.080435 1 0 i-1688be7b i-1488be79 0.0-10.0 703012864 561793385 0.0-10.0 12490590 9983403 0.034 0 8496 1
2010-12-13 03:05:26.447075 0 1 i-1488be79 i-1688be7b 0.0-10.0 550969344 440670639 0.0-10.0 12502350 9999994 0.037 2 8504 1
2010-12-13 03:05:51.908120 1 0 i-1688be7b i-1488be79 0.0-10.0 708460544 566333887 0.0-10.0 12502350 9999995 0.033 9 8504 9
2010-12-13 03:06:17.527457 0 1 i-1488be79 i-1688be7b 0.0-10.0 600424448 480060547 0.0-10.0 12480300 9955878 0.067 4 8489 5
2010-12-13 03:06:42.884723 1 0 i-1688be7b i-1488be79 0.0-10.0 614105088 490860408 0.0-10.0 12477360 9979081 0.028 5 8487 6
2010-12-13 03:07:08.205105 0 1 i-1488be79 i-1688be7b 0.0-10.0 626663424 501129585 0.0-10.0 12502350 9999994 0.065 0 8504 1
