date time client_id server_id client_uqid server_uqid hop_count
2010-12-12 23:25:05.588832 0 1 i-1488be79 i-1688be7b 4
2010-12-12 23:25:32.299624 1 0 i-1688be7b i-1488be79 4
2010-12-12 23:25:59.082772 0 1 i-1488be79 i-1688be7b 4
2010-12-12 23:26:25.805434 1 0 i-1688be7b i-1488be79 4
2010-12-12 23:26:52.587648 0 1 i-1488be79 i-1688be7b 4
2010-12-12 23:27:19.221576 1 0 i-1688be7b i-1488be79 4
2010-12-12 23:27:45.744431 0 1 i-1488be79 i-1688be7b 4
2010-12-12 23:28:11.953202 1 0 i-1688be7b i-1488be79 4
2010-12-12 23:28:37.744981 0 1 i-1488be79 i-1688be7b 4
2010-12-12 23:29:03.701805 1 0 i-1688be7b i-1488be79 4
2010-12-12 23:29:29.296870 0 1 i-1488be79 i-1688be7b 4
2010-12-12 23:29:54.753558 1 0 i-1688be7b i-1488be79 4
2010-12-12 23:30:25.554262 0 1 i-1488be79 i-1688be7b 4
2010-12-12 23:30:51.231612 1 0 i-1688be7b i-1488be79 4
2010-12-12 23:31:16.901092 0 1 i-1488be79 i-1688be7b 4
2010-12-12 23:31:42.689162 1 0 i-1688be7b i-1488be79 4
2010-12-12 23:32:08.393004 0 1 i-1488be79 i-1688be7b 4
2010-12-12 23:32:34.151792 1 0 i-1688be7b i-1488be79 4
2010-12-12 23:32:59.930349 0 1 i-1488be79 i-1688be7b 4
2010-12-12 23:33:25.517964 1 0 i-1688be7b i-1488be79 4
2010-12-12 23:33:50.923806 0 1 i-1488be79 i-1688be7b 4
2010-12-12 23:34:16.589044 1 0 i-1688be7b i-1488be79 4
2010-12-12 23:34:42.141989 0 1 i-1488be79 i-1688be7b 4
2010-12-12 23:35:07.741575 1 0 i-1688be7b i-1488be79 4
2010-12-12 23:35:33.264196 0 1 i-1488be79 i-1688be7b 4
2010-12-12 23:35:58.997139 1 0 i-1688be7b i-1488be79 4
2010-12-12 23:36:24.417131 0 1 i-1488be79 i-1688be7b 4
2010-12-12 23:36:49.943497 1 0 i-1688be7b i-1488be79 4
2010-12-13 02:48:14.645322 0 1 i-1488be79 i-1688be7b 4
2010-12-13 02:49:22.656646 0 1 i-1488be79 i-1688be7b 4
2010-12-13 02:49:48.100092 1 0 i-1688be7b i-1488be79 4
2010-12-13 02:50:11.807174 0 1 i-1488be79 i-1688be7b 4
2010-12-13 02:50:37.281997 1 0 i-1688be7b i-1488be79 4
2010-12-13 02:51:01.431450 0 1 i-1488be79 i-1688be7b 4
2010-12-13 02:51:26.699054 1 0 i-1688be7b i-1488be79 4
2010-12-13 02:51:52.066130 0 1 i-1488be79 i-1688be7b 4
2010-12-13 02:52:17.326107 1 0 i-1688be7b i-1488be79 4
2010-12-13 02:52:42.635011 0 1 i-1488be79 i-1688be7b 4
2010-12-13 02:53:08.165764 1 0 i-1688be7b i-1488be79 4
2010-12-13 02:53:38.505089 0 1 i-1488be79 i-1688be7b 4
2010-12-13 02:54:03.766809 1 0 i-1688be7b i-1488be79 4
2010-12-13 02:54:29.143577 0 1 i-1488be79 i-1688be7b 4
2010-12-13 02:54:54.466417 1 0 i-1688be7b i-1488be79 4
2010-12-13 02:55:19.689263 0 1 i-1488be79 i-1688be7b 4
2010-12-13 02:55:45.113932 1 0 i-1688be7b i-1488be79 4
2010-12-13 02:56:10.522026 0 1 i-1488be79 i-1688be7b 4
2010-12-13 02:56:35.975288 1 0 i-1688be7b i-1488be79 4
2010-12-13 02:57:01.210130 0 1 i-1488be79 i-1688be7b 4
2010-12-13 02:57:26.596495 1 0 i-1688be7b i-1488be79 4
2010-12-13 02:57:51.902001 0 1 i-1488be79 i-1688be7b 4
2010-12-13 02:58:17.350611 1 0 i-1688be7b i-1488be79 4
2010-12-13 02:58:42.674161 0 1 i-1488be79 i-1688be7b 4
2010-12-13 02:59:08.031139 1 0 i-1688be7b i-1488be79 4
2010-12-13 02:59:33.373756 0 1 i-1488be79 i-1688be7b 4
2010-12-13 02:59:58.832090 1 0 i-1688be7b i-1488be79 4
2010-12-13 03:00:24.152100 0 1 i-1488be79 i-1688be7b 4
2010-12-13 03:00:49.667507 1 0 i-1688be7b i-1488be79 4
2010-12-13 03:01:14.922962 0 1 i-1488be79 i-1688be7b 4
2010-12-13 03:01:40.183481 1 0 i-1688be7b i-1488be79 4
2010-12-13 03:02:06.142710 0 1 i-1488be79 i-1688be7b 4
2010-12-13 03:02:31.602616 1 0 i-1688be7b i-1488be79 4
2010-12-13 03:02:56.905149 0 1 i-1488be79 i-1688be7b 4
2010-12-13 03:03:22.334127 1 0 i-1688be7b i-1488be79 4
2010-12-13 03:03:47.802489 0 1 i-1488be79 i-1688be7b 4
2010-12-13 03:04:13.308223 1 0 i-1688be7b i-1488be79 4
2010-12-13 03:04:38.768059 0 1 i-1488be79 i-1688be7b 4
2010-12-13 03:05:04.232627 1 0 i-1688be7b i-1488be79 4
2010-12-13 03:05:29.680600 0 1 i-1488be79 i-1688be7b 4
2010-12-13 03:05:55.316993 1 0 i-1688be7b i-1488be79 4
2010-12-13 03:06:20.649365 0 1 i-1488be79 i-1688be7b 4
2010-12-13 03:06:46.074894 1 0 i-1688be7b i-1488be79 4
2010-12-13 03:07:11.351665 0 1 i-1488be79 i-1688be7b 4
2010-12-13 03:07:36.716225 1 0 i-1688be7b i-1488be79 4
2010-12-13 03:08:01.949199 0 1 i-1488be79 i-1688be7b 4
2010-12-13 03:08:27.510963 1 0 i-1688be7b i-1488be79 4
2010-12-13 03:08:52.823510 0 1 i-1488be79 i-1688be7b 4
2010-12-13 03:09:18.409474 1 0 i-1688be7b i-1488be79 4
2010-12-13 03:09:43.794222 0 1 i-1488be79 i-1688be7b 4
2010-12-13 03:10:09.328952 1 0 i-1688be7b i-1488be79 4
2010-12-13 03:10:34.758010 0 1 i-1488be79 i-1688be7b 4
2010-12-13 03:11:00.244734 1 0 i-1688be7b i-1488be79 4
2010-12-13 03:11:25.518288 0 1 i-1488be79 i-1688be7b 4
2010-12-13 03:11:50.798585 1 0 i-1688be7b i-1488be79 4
2010-12-13 03:12:16.173122 0 1 i-1488be79 i-1688be7b 4
2010-12-13 03:12:41.547480 1 0 i-1688be7b i-1488be79 4
2010-12-13 03:13:07.027528 0 1 i-1488be79 i-1688be7b 4
2010-12-13 03:13:32.211070 1 0 i-1688be7b i-1488be79 4
2010-12-13 03:13:57.454926 0 1 i-1488be79 i-1688be7b 4
2010-12-13 03:14:22.794917 1 0 i-1688be7b i-1488be79 4
2010-12-13 03:14:48.029962 0 1 i-1488be79 i-1688be7b 4
2010-12-13 03:15:18.464603 1 0 i-1688be7b i-1488be79 4
2010-12-13 03:15:43.816557 0 1 i-1488be79 i-1688be7b 4
2010-12-13 03:16:10.609894 1 0 i-1688be7b i-1488be79 4
2010-12-13 03:16:36.292631 0 1 i-1488be79 i-1688be7b 4
2010-12-13 03:17:06.920247 1 0 i-1688be7b i-1488be79 4
2010-12-13 03:17:32.350126 0 1 i-1488be79 i-1688be7b 4
2010-12-13 03:18:02.811968 1 0 i-1688be7b i-1488be79 4
2010-12-13 03:18:28.554032 0 1 i-1488be79 i-1688be7b 4
2010-12-13 03:18:54.084357 1 0 i-1688be7b i-1488be79 4
2010-12-13 03:19:19.854321 0 1 i-1488be79 i-1688be7b 4
2010-12-13 03:19:45.277645 1 0 i-1688be7b i-1488be79 4
2010-12-13 03:20:10.823671 0 1 i-1488be79 i-1688be7b 4
2010-12-13 03:20:36.489822 1 0 i-1688be7b i-1488be79 4
