date time client_id server_id client_uqid server_uqid rtt
2010-12-13 03:03:21.251992 1 0 i-1688be7b i-1488be79 0.573
2010-12-13 03:03:46.570331 0 1 i-1488be79 i-1688be7b 0.623
2010-12-13 03:04:12.184269 1 0 i-1688be7b i-1488be79 20.7
2010-12-13 03:04:37.702823 0 1 i-1488be79 i-1688be7b 0.582
2010-12-13 03:05:03.091826 1 0 i-1688be7b i-1488be79 0.462
2010-12-13 03:05:28.536833 0 1 i-1488be79 i-1688be7b 0.573
2010-12-13 03:05:54.014034 1 0 i-1688be7b i-1488be79 0.493
2010-12-13 03:06:19.571165 0 1 i-1488be79 i-1688be7b 0.555
2010-12-13 03:06:44.957927 1 0 i-1688be7b i-1488be79 0.503
2010-12-13 03:07:10.278915 0 1 i-1488be79 i-1688be7b 0.580
2010-12-13 03:07:35.606766 1 0 i-1688be7b i-1488be79 0.563
2010-12-13 03:08:00.910247 0 1 i-1488be79 i-1688be7b 0.517
2010-12-13 03:08:26.391441 1 0 i-1688be7b i-1488be79 0.622
2010-12-13 03:08:51.749320 0 1 i-1488be79 i-1688be7b 0.490
2010-12-13 03:09:17.277419 1 0 i-1688be7b i-1488be79 0.489
2010-12-13 03:09:42.706461 0 1 i-1488be79 i-1688be7b 0.598
2010-12-13 03:10:08.175198 1 0 i-1688be7b i-1488be79 0.551
2010-12-13 03:10:33.695388 0 1 i-1488be79 i-1688be7b 0.594
2010-12-13 03:10:59.119902 1 0 i-1688be7b i-1488be79 0.514
2010-12-13 03:11:24.477501 0 1 i-1488be79 i-1688be7b 0.623
2010-12-13 03:11:49.755385 1 0 i-1688be7b i-1488be79 0.510
2010-12-13 03:12:15.108427 0 1 i-1488be79 i-1688be7b 0.565
2010-12-13 03:12:40.539881 1 0 i-1688be7b i-1488be79 0.531
2010-12-13 03:13:05.923568 0 1 i-1488be79 i-1688be7b 0.632
2010-12-13 03:13:31.181441 1 0 i-1688be7b i-1488be79 0.518
2010-12-13 03:13:56.399946 0 1 i-1488be79 i-1688be7b 0.677
2010-12-13 03:14:21.757478 1 0 i-1688be7b i-1488be79 0.603
2010-12-13 03:14:46.990404 0 1 i-1488be79 i-1688be7b 0.599
2010-12-13 03:15:12.328859 1 0 i-1688be7b i-1488be79 21.0
2010-12-13 03:15:42.705531 0 1 i-1488be79 i-1688be7b 0.576
2010-12-13 03:16:09.429995 1 0 i-1688be7b i-1488be79 2.27
2010-12-13 03:16:35.044183 0 1 i-1488be79 i-1688be7b 24.8
2010-12-13 03:17:00.858290 1 0 i-1688be7b i-1488be79 0.545
2010-12-13 03:17:31.311371 0 1 i-1488be79 i-1688be7b 0.534
2010-12-13 03:17:56.688402 1 0 i-1688be7b i-1488be79 0.643
2010-12-13 03:18:27.462649 0 1 i-1488be79 i-1688be7b 0.573
2010-12-13 03:18:52.948409 1 0 i-1688be7b i-1488be79 0.515
2010-12-13 03:19:18.556695 0 1 i-1488be79 i-1688be7b 0.538
2010-12-13 03:19:44.277293 1 0 i-1688be7b i-1488be79 0.499
2010-12-13 03:20:09.652705 0 1 i-1488be79 i-1688be7b 19.5
2010-12-13 03:20:35.271004 1 0 i-1688be7b i-1488be79 0.486
2010-12-13 03:21:00.957065 0 1 i-1488be79 i-1688be7b 0.498
2010-12-13 03:21:26.600523 1 0 i-1688be7b i-1488be79 0.888
2010-12-13 03:21:52.206472 0 1 i-1488be79 i-1688be7b 24.0
2010-12-13 03:22:17.830698 1 0 i-1688be7b i-1488be79 0.597
2010-12-13 03:22:43.303020 0 1 i-1488be79 i-1688be7b 0.572
2010-12-13 03:23:08.853555 1 0 i-1688be7b i-1488be79 0.493
2010-12-13 03:23:34.412923 0 1 i-1488be79 i-1688be7b 0.540
2010-12-13 03:24:00.038863 1 0 i-1688be7b i-1488be79 0.519
2010-12-13 03:24:25.533399 0 1 i-1488be79 i-1688be7b 0.501
2010-12-13 03:24:51.240405 1 0 i-1688be7b i-1488be79 0.550
2010-12-13 03:25:16.997250 0 1 i-1488be79 i-1688be7b 0.565
2010-12-13 03:25:42.431098 1 0 i-1688be7b i-1488be79 0.683
2010-12-13 03:26:07.901427 0 1 i-1488be79 i-1688be7b 0.508
2010-12-13 03:26:33.436593 1 0 i-1688be7b i-1488be79 0.515
2010-12-13 03:26:58.691116 0 1 i-1488be79 i-1688be7b 0.566
2010-12-13 03:27:23.902483 1 0 i-1688be7b i-1488be79 20.0
2010-12-13 03:27:49.234702 0 1 i-1488be79 i-1688be7b 0.464
2010-12-13 03:28:14.536196 1 0 i-1688be7b i-1488be79 0.591
2010-12-13 03:28:39.733357 0 1 i-1488be79 i-1688be7b 1.76
2010-12-13 03:29:04.955655 1 0 i-1688be7b i-1488be79 0.461
2010-12-13 03:29:30.471735 0 1 i-1488be79 i-1688be7b 0.485
2010-12-13 03:29:55.838408 1 0 i-1688be7b i-1488be79 0.607
2010-12-13 03:30:21.103506 0 1 i-1488be79 i-1688be7b 0.523
2010-12-13 03:30:46.363108 1 0 i-1688be7b i-1488be79 0.660
2010-12-13 03:31:11.646935 0 1 i-1488be79 i-1688be7b 0.589
2010-12-13 03:31:37.055866 1 0 i-1688be7b i-1488be79 0.541
2010-12-13 03:32:02.444907 0 1 i-1488be79 i-1688be7b 0.510
